TId	Apple	Orange	Lemon	Ginger	Water	Milk	Chips	Diapers	iPhone	Case
101	0	0	0	1	0	0	1	0	0	0	
102	0	1	1	0	0	1	1	0	0	1	
103	1	0	0	1	0	1	1	1	0	1	
104	1	1	0	0	0	0	0	0	1	1	
105	1	0	1	0	1	1	1	1	1	0	
106	1	1	0	0	1	1	0	0	1	0	
107	0	0	0	0	0	0	0	1	1	0	
108	1	0	0	0	1	1	0	0	0	1	
109	1	1	1	1	1	1	1	1	1	1	
110	1	1	1	1	1	1	0	0	1	0	
111	0	0	1	1	0	0	1	1	0	1	
112	1	1	1	1	0	0	0	0	1	1	
113	0	0	0	1	1	0	1	1	1	1	
114	1	1	1	0	1	0	1	1	0	0	
115	1	0	1	0	0	0	0	1	0	0	
116	1	1	0	0	0	0	1	0	0	1	
117	0	1	0	0	0	1	1	0	0	1	
118	1	0	0	1	0	1	1	1	0	0	
119	0	1	0	0	1	0	0	1	0	0	
120	1	1	1	1	1	1	0	0	0	1

