TId	Apple	Orange	Lemon	Ginger	Water	Milk	Chips	Diapers	iPhone	Case
101	0	0	1	1	0	0	1	1	0	0	
102	0	0	0	1	1	0	0	1	1	1	
103	0	0	0	0	1	1	1	0	0	1	
104	1	1	0	1	0	1	0	0	0	1	
105	0	0	1	0	1	1	1	1	1	0	
106	0	0	1	1	1	1	1	0	0	1	
107	0	1	0	1	1	0	0	0	0	1	
108	1	0	0	0	0	0	0	1	1	0	
109	0	1	1	1	0	0	1	0	0	0	
110	1	0	0	1	0	0	1	0	0	0	
111	0	1	1	0	1	0	0	0	0	0	
112	0	1	1	0	0	1	0	1	1	1	
113	1	0	1	0	1	1	0	0	0	1	
114	0	1	0	0	1	1	1	0	1	1	
115	1	0	1	0	1	0	0	0	1	0	
116	1	1	0	0	0	0	0	1	1	0	
117	1	0	1	0	0	0	1	0	1	1	
118	0	0	0	1	0	1	0	0	0	1	
119	1	1	0	0	0	0	0	1	0	0	
120	0	1	1	0	0	0	0	0	0	1
